,categoria,frecuencia,id,nombre,ocurrencias,pais,tipo_1,tipo_2,tipo_3,tipo_4
55,actividad economica,mensual,TotalNCFlows_USA,Total Net TIC Flows,120,USA,0.0,0.0,1.0,1.0
56,mercado laboral,mensual,UnemplntRate_USA,Unemployment Rate,120,USA,0.0,0.0,1.0,1.0
57,actividad economica,semanal,Wholestories_USA,Wholesale Inventories,154,USA,0.0,1.0,1.0,1.0
42,inflacion,mensual,12-Monlation_MEX,12-Month Inflation,104,MEX,0.0,0.0,0.0,0.0
51,inflacion,mensual,1sthallation_MEX,1st half-month Inflation,105,MEX,0.0,0.0,0.0,0.0
77,subasta de bonos,mensual,3-Yearuction_USA,3-Year Note Auction,91,USA,0.0,0.0,0.0,0.0
60,subasta de bonos,mensual,30-Yeauction_USA,30-Year Bond Auction,96,USA,0.0,0.0,0.0,0.0
101,actividad economica,trimestral,AccumuuntGDP_MEX,Accumulated Current AccountGDP,36,MEX,0.0,0.0,0.0,0.0
62,mercado laboral,mensual,AveragngsYoY_USA,Average Hourly Earnings YoY,118,USA,0.0,0.0,0.0,0.0
48,mercado inmobiliario,trimestral,BuildiChange_USA,Building Permits Change,47,USA,0.0,0.0,0.0,0.0
43,tasas de interes,mensual,CentrastRate_MEX,Central Bank Interest Rate,67,MEX,0.0,0.0,0.0,0.0
45,mercado laboral,mensual,ChalleobCuts_USA,Challenger Job Cuts,96,USA,0.0,0.0,0.0,0.0
52,actividad economica,mensual,ChicagyIndex_USA,Chicago Fed National Activity Index,120,USA,0.0,0.0,0.0,0.0
58,consumo,mensual,Consumidence_MEX,Consumer Confidence,120,MEX,0.0,0.0,0.0,0.0
79,consumo,mensual,Consumnces.a_MEX,Consumer Confidence s.a,120,MEX,0.0,0.0,0.0,0.0
31,consumo,mensual,Consumores.a_USA,Consumer Price Index Core s.a,103,USA,0.0,0.0,0.0,0.0
23,consumo,mensual,Consums.aMoM_USA,Consumer Price Index n.s.a MoM,96,USA,0.0,0.0,0.0,0.0
74,inflacion,mensual,CoreInlation_MEX,Core Inflation,102,MEX,0.0,0.0,0.0,0.0
1,consumo,mensual,CorePeresQoQ_USA,Core Personal Consumption Expenditures QoQ,116,USA,0.0,0.0,0.0,0.0
14,actividad economica,trimestral,Currenccount_USA,Current Account,40,USA,0.0,0.0,0.0,0.0
54,actividad economica,trimestral,"Currennt,QoQ_MEX","Current Account,  QoQ",36,MEX,0.0,0.0,0.0,0.0
49,actividad economica,mensual,DallassIndex_USA,Dallas Fed Manufacturing Business Index,95,USA,0.0,0.0,0.0,0.0
