,id,nombre,categoria,pais,ocurrencias,frecuencia
103,EIANatChange_USA,EIA Natural Gas Storage Change,energia,USA,408,semanal
100,EmploytIndex_USA,Employment Cost Index,mercado laboral,USA,35,trimestral
86,ExistingeMoM_USA,Existing Home Sales Change MoM,mercado inmobiliario,USA,120,mensual
11,ExistilesMoM_USA,Existing Home Sales MoM,mercado inmobiliario,USA,119,mensual
9,ExportdexMoM_USA,Export Price Index MoM,actividad economica,USA,105,mensual
47,ExportdexYoY_USA,Export Price Index YoY,actividad economica,USA,94,mensual
95,FactorersMoM_USA,Factory Orders MoM,actividad economica,USA,120,mensual
94,FedIntcision_USA,Fed Interest Rate Decision,tasas de interes,USA,80,mensual
99,"Fiscal,pesos_MEX","Fiscal Balance, pesos",actividad economica,MEX,101,mensual
50,GoodsTalance_USA,Goods Trade Balance,actividad economica,USA,55,trimestral
59,GrossDalized_USA,Gross Domestic Product Annualized,actividad economica,USA,119,mensual
4,GrossDeIndex_USA,Gross Domestic Product Price Index,actividad economica,USA,119,mensual
91,GrossDuctQoQ_MEX,Gross Domestic Product QoQ,actividad economica,MEX,37,trimestral
104,GrossDuctYoY_MEX,Gross Domestic Product YoY,actividad economica,MEX,37,trimestral
38,Headlilation_MEX,Headline Inflation,inflacion,MEX,103,mensual
3,HousinChange_USA,Housing Starts Change,mercado inmobiliario,USA,48,trimestral
63,HousinrtsMoM_USA,Housing Starts MoM,mercado inmobiliario,USA,120,mensual
105,IBDTIPismMoM_USA,IBDTIPP Economic Optimism MoM,actividad economica,USA,119,mensual
37,ISMManingPMI_USA,ISM Manufacturing PMI,actividad economica,USA,93,mensual
24,ISMManesPaid_USA,ISM Manufacturing Prices Paid,actividad economica,USA,118,mensual
13,ISMNoningPMI_USA,ISM Non-Manufacturing PMI,actividad economica,USA,120,mensual
78,ISM-NYsIndex_USA,ISM-NY Business Conditions Index,actividad economica,USA,120,mensual
22,ImportdexMoM_USA,Import Price Index MoM,actividad economica,USA,120,mensual
110,IndustputMoM_MEX,Industrial Output MoM,actividad economica,MEX,120,mensual
82,IndustputYoY_MEX,Industrial Output YoY,actividad economica,MEX,104,mensual
46,IndustionMoM_USA,Industrial Production MoM,actividad economica,USA,104,mensual
75,InitiaClaims_USA,Initial Jobless Claims,mercado laboral,USA,520,semanal
81,LaborFonRate_USA,Labor Force Participation Rate,mercado laboral,USA,72,mensual
64,MarkitingPMI_USA,Markit Manufacturing PMI,actividad economica,USA,145,semanal
112,Markitposite_USA,Markit PMI Composite,actividad economica,USA,184,semanal
76,MarkitcesPMI_USA,Markit Services PMI,actividad economica,USA,134,semanal
80,MichigtIndex_USA,Michigan Consumer Sentiment Index,actividad economica,USA,240,semanal
28,Monthltement_USA,Monthly Budget Statement,mercado inmobiliario,USA,120,mensual
71,NAHBHotIndex_USA,NAHB Housing Market Index,actividad economica,USA,120,mensual
108,NFIBBumIndex_USA,NFIB Business Optimism Index,actividad economica,USA,95,mensual
18,NYEmpigIndex_USA,NY Empire State Manufacturing Index,flujos de capital,USA,120,mensual
92,NetLonCFlows_USA,Net Long-Term TIC Flows,mercado inmobiliario,USA,120,mensual
41,NewHomngeMoM_USA,New Home Sales Change MoM,mercado inmobiliario,USA,120,mensual
33,NewHomlesMoM_USA,New Home Sales MoM,mercado laboral,USA,120,mensual
98,Nonfaryrolls_USA,Nonfarm Payrolls,mercado laboral,USA,79,mensual
36,Nonfartivity_USA,Nonfarm Productivity,mercado inmobiliario,USA,120,mensual
73,PendinlesYoY_USA,Pending Home Sales YoY,consumo,USA,88,mensual
89,Personitures_USA,Personal Consumption Expenditures,consumo,USA,88,mensual
109,PersoncesQoQ_USA,Personal Consumption Expenditures Prices QoQ,consumo,USA,95,mensual
57,PersonomeMoM_USA,Personal Income MoM,consumo,USA,237,semanal
5,Personending_USA,Personal Spending,consumo,USA,120,mensual
19,PhiladSurvey_USA,Philadelphia Fed Manufacturing Survey,consumo,USA,120,mensual
113,PrivatingQoQ_MEX,Private Spending QoQ,consumo,MEX,30,trimestral
83,PrivatingYoY_MEX,Private Spending YoY,consumo,MEX,30,trimestral
21,ProducdexMoM_USA,Producer Price Index MoM,consumo,USA,120,mensual
2,ProducdexYoY_USA,Producer Price Index YoY,consumo,USA,120,mensual
16,ProducrgyMoM_USA,Producer Price Index ex Food  Energy MoM,consumo,USA,119,mensual
66,ProducrgyYoY_USA,Producer Price Index ex Food  Energy YoY,consumo,USA,119,mensual
29,RedboodexMoM_USA,Redbook Index MoM,consumo,USA,390,semanal
67,RedboodexYoY_USA,Redbook Index YoY,consumo,USA,390,semanal
68,RetaillGroup_USA,Retail Sales Control Group,consumo,USA,60,trimestral
32,RetaillesMoM_USA,Retail Sales MoM,consumo,USA,104,mensual
70,RetaillesMoM_MEX,Retail Sales MoM,consumo,MEX,120,mensual
44,RetaillesYoY_MEX,Retail Sales YoY,mercado inmobiliario,MEX,104,mensual
111,RetailtosMoM_USA,Retail Sales ex Autos MoM,flujos de capital,USA,120,mensual
35,SPCasecesYoY_USA,SPCase-Shiller Home Price Indices YoY,actividad economica,USA,120,mensual
30,TotalNCFlows_USA,Total Net TIC Flows,actividad economica,USA,120,mensual
96,TradeBalance_USA,Trade Balance,actividad economica,USA,119,mensual
97,"TradeBncesa,_MEX","Trade Balance sa, ",mercado laboral,MEX,105,mensual
12,"TradeBlance,_MEX","Trade Balance, ",mercado laboral,MEX,106,mensual
6,UnemplntRate_USA,Unemployment Rate,mercado laboral,USA,120,mensual
65,UnitLarCosts_USA,Unit Labor Costs,mercado laboral,USA,79,mensual
87,Wholestories_USA,Wholesale Inventories,actividad economica,USA,154,semanal
