name,esc,timestamp,patron_1,patron_2,patron_3,patron_4
CFTC USD NC Net Positions,A,2019-12-30 20:30:00+00:00,0,0,10,38513
CFTC USD NC Net Positions,D,2019-12-06 20:30:00+00:00,1,1,12,33117
Durable Goods Orders,A,2019-11-27 13:30:00+00:00,0,0,3,17309
Durable Goods Orders,D,2019-12-23 13:30:00+00:00,0,0,7,12920
Business Inventories,A,2019-12-13 15:00:00+00:00,0,0,6,20121
Business Inventories,D,2019-10-16 14:00:00+00:00,0,0,2,11533
Core Personal Consumption Expenditure,A,2019-12-20 15:00:00+00:00,0,0,18,51756
Core Personal Consumption Expenditure,D,2019-11-27 15:00:00+00:00,0,0,8,18335
Retail Sales MoM,A,2019-11-26 12:00:00+00:00,0,0,5,32794
Retail Sales MoM,D,2019-12-20 12:00:00+00:00,0,0,6,31711
Chicago Purchasing Managers' Index,A,2019-12-30 14:45:00+00:00,0,0,14,17974
Chicago Purchasing Managers' Index,D,2019-10-31 13:45:00+00:00,0,0,3,17290
ADP Employment Change,A,2019-09-05 12:15:00+00:00,0,0,8,18373
ADP Employment Change,D,2019-12-04 13:15:00+00:00,0,0,7,12958
Nonfarm Payrolls,A,2019-12-06 13:30:00+00:00,0,0,1,17309
Nonfarm Payrolls,D,2019-09-06 12:30:00+00:00,0,0,8,13281
Producer Price Index MoM,A,2019-11-14 13:30:00+00:00,0,0,3,16929
Producer Price Index MoM,D,2019-12-12 13:30:00+00:00,0,0,0,12274
API Weekly Crude Oil Stock,A,2019-12-31 21:30:00+00:00,0,0,19,40280
API Weekly Crude Oil Stock,D,2019-12-24 21:30:00+00:00,0,1,8,42845
4-Week Bill Auction,A,2019-12-26 16:30:00+00:00,0,0,23,81719
4-Week Bill Auction,D,2019-12-19 16:30:00+00:00,0,2,17,57589
Markit PMI Composite,A,2019-12-16 14:45:00+00:00,1,1,1,23807
Markit PMI Composite,D,2019-11-05 14:45:00+00:00,0,0,3,20178
Personal Income MoM,A,2019-12-20 15:00:00+00:00,0,0,12,19722
Personal Income MoM,D,2019-11-27 15:00:00+00:00,0,0,0,12274
Producer Price Index YoY,A,2019-09-11 12:30:00+00:00,0,0,2,17309
Producer Price Index YoY,D,2019-10-08 12:30:00+00:00,0,0,1,13699
Wholesale Inventories,A,2019-11-26 13:30:00+00:00,0,0,18,27607
Wholesale Inventories,D,2019-12-30 13:30:00+00:00,0,0,0,19133
Markit Manufacturing PMI,A,2019-12-02 14:45:00+00:00,0,0,10,33478
Markit Manufacturing PMI,D,2019-11-01 13:45:00+00:00,0,0,3,27740
Markit Services PMI,A,2019-12-16 14:45:00+00:00,1,1,3,25213
Markit Services PMI,D,2019-11-05 14:45:00+00:00,0,0,3,23788
NAHB Housing Market Index,A,2019-12-16 15:00:00+00:00,0,0,3,22686
NAHB Housing Market Index,D,2019-11-18 15:00:00+00:00,0,0,1,14421
Consumer Price Index ex Food  Energy MoM,A,2019-12-11 13:30:00+00:00,0,0,7,23408
Housing Starts MoM,A,2019-12-17 13:30:00+00:00,0,0,6,20140
Housing Starts MoM,D,2019-10-17 12:30:00+00:00,0,0,2,17290
