name,esc,timestamp,patron_1,patron_2,patron_3,patron_4
CFTC USD NC Net Positions,A,2019-12-30 20:30:00+00:00,0,0,10,38513
CFTC USD NC Net Positions,D,2019-12-06 20:30:00+00:00,1,1,12,32034
Durable Goods Orders,A,2019-11-27 13:30:00+00:00,0,0,3,16948
Durable Goods Orders,D,2019-12-23 13:30:00+00:00,0,0,7,12920
Business Inventories,A,2019-12-13 15:00:00+00:00,0,0,6,20121
Business Inventories,D,2019-10-16 14:00:00+00:00,0,0,2,11533
Core Personal Consumption Expenditure,A,2019-12-20 15:00:00+00:00,0,0,18,51395
Core Personal Consumption Expenditure,D,2019-11-27 15:00:00+00:00,0,0,18,17936
Retail Sales MoM,A,2019-11-26 12:00:00+00:00,0,0,5,32433
Retail Sales MoM,D,2019-12-20 12:00:00+00:00,0,0,6,31711
Chicago Purchasing Managers' Index,A,2019-12-30 14:45:00+00:00,0,0,14,17974
Chicago Purchasing Managers' Index,D,2019-10-31 13:45:00+00:00,0,0,3,17290
ADP Employment Change,A,2019-09-05 12:15:00+00:00,0,0,3,18031
ADP Employment Change,D,2019-12-04 13:15:00+00:00,0,0,7,12597
Nonfarm Payrolls,A,2019-12-06 13:30:00+00:00,0,0,3,16929
Nonfarm Payrolls,D,2019-09-06 12:30:00+00:00,0,0,8,13281
Producer Price Index MoM,A,2019-11-14 13:30:00+00:00,0,0,3,16929
Producer Price Index MoM,D,2019-12-12 13:30:00+00:00,0,0,0,12274
API Weekly Crude Oil Stock,A,2019-12-31 21:30:00+00:00,0,0,19,39919
API Weekly Crude Oil Stock,D,2019-12-24 21:30:00+00:00,0,1,15,42123
4-Week Bill Auction,A,2019-12-26 16:30:00+00:00,0,0,21,81377
4-Week Bill Auction,D,2019-12-19 16:30:00+00:00,0,2,17,56867
Markit PMI Composite,A,2019-12-16 14:45:00+00:00,1,1,2,23066
Markit PMI Composite,D,2019-11-05 14:45:00+00:00,0,0,3,20178
Personal Income MoM,A,2019-12-20 15:00:00+00:00,0,0,12,19722
Personal Income MoM,D,2019-11-27 15:00:00+00:00,0,0,5,11894
Producer Price Index YoY,A,2019-09-11 12:30:00+00:00,0,0,2,17309
Producer Price Index YoY,D,2019-10-08 12:30:00+00:00,0,0,1,13699
Wholesale Inventories,A,2019-11-26 13:30:00+00:00,0,0,18,26885
Wholesale Inventories,D,2019-12-30 13:30:00+00:00,0,0,0,18772
Markit Manufacturing PMI,A,2019-12-02 14:45:00+00:00,0,0,9,32775
Markit Manufacturing PMI,D,2019-11-01 13:45:00+00:00,0,0,4,27721
Markit Services PMI,A,2019-12-16 14:45:00+00:00,1,1,4,24472
Markit Services PMI,D,2019-11-05 14:45:00+00:00,0,0,3,23788
NAHB Housing Market Index,A,2019-12-16 15:00:00+00:00,0,0,3,22686
NAHB Housing Market Index,D,2019-11-18 15:00:00+00:00,0,0,1,14421
Consumer Price Index ex Food  Energy MoM,A,2019-12-11 13:30:00+00:00,0,0,7,23047
Housing Starts MoM,A,2019-12-17 13:30:00+00:00,0,0,6,20140
Housing Starts MoM,D,2019-10-17 12:30:00+00:00,0,0,2,17290
Retail Sales ex Autos MoM,A,2019-08-15 12:30:00+00:00,0,0,1,17309
Retail Sales ex Autos MoM,D,2019-12-13 13:30:00+00:00,0,0,1,15143
Redbook Index YoY,A,2019-12-31 13:55:00+00:00,0,1,33,76931
Redbook Index YoY,D,2019-12-17 13:55:00+00:00,0,0,15,61218
Redbook Index MoM,A,2019-12-31 13:55:00+00:00,1,1,34,88464
Redbook Index MoM,D,2019-12-17 13:55:00+00:00,0,0,14,49685
ISM Manufacturing PMI,A,2019-04-01 14:00:00+00:00,0,0,2,20900
ISM Manufacturing PMI,D,2019-12-02 15:00:00+00:00,0,0,3,15846
SPCase-Shiller Home Price Indices YoY,A,2019-12-31 14:00:00+00:00,0,0,9,17214
SPCase-Shiller Home Price Indices YoY,D,2019-09-24 13:00:00+00:00,0,0,1,12977
Factory Orders MoM,A,2019-12-05 15:00:00+00:00,0,0,5,14725
Factory Orders MoM,D,2019-11-04 15:00:00+00:00,0,0,4,10431
EIA Crude Oil Stocks Change,A,2019-12-11 15:30:00+00:00,0,0,23,75335
EIA Crude Oil Stocks Change,B,2019-09-05 15:00:00+00:00,0,0,2,14041
EIA Crude Oil Stocks Change,C,2019-12-18 15:30:00+00:00,0,0,5,22325
EIA Crude Oil Stocks Change,D,2019-12-27 16:00:00+00:00,1,2,31,72561
Consumer Credit Change,A,2019-12-06 20:00:00+00:00,0,0,5,19418
Consumer Credit Change,D,2019-11-07 20:00:00+00:00,0,0,4,15846
Import Price Index MoM,A,2019-12-13 13:30:00+00:00,0,0,2,14041
Import Price Index MoM,D,2019-11-15 13:30:00+00:00,0,0,8,11134
Industrial Production MoM,A,2019-12-17 14:15:00+00:00,0,0,0,17328
Industrial Production MoM,D,2019-11-15 14:15:00+00:00,0,0,6,18715
NY Empire State Manufacturing Index,A,2019-10-14 20:00:00+00:00,0,0,4,17290
NY Empire State Manufacturing Index,D,2019-11-15 13:30:00+00:00,0,0,0,18411
