name,esc,timestamp,patron_1,patron_2,patron_3,patron_4
Net Long-Term TIC Flows,D,2019-10-16 20:00:00+00:00,0,0,4,18335
Consumer Price Index MoM,A,2019-11-13 13:30:00+00:00,0,0,3,14744
Initial Jobless Claims,A,2019-12-12 13:30:00+00:00,0,0,7,69939
Initial Jobless Claims,B,2019-10-17 12:30:00+00:00,0,0,0,18411
Initial Jobless Claims,C,2019-12-19 13:30:00+00:00,0,0,0,21660
Initial Jobless Claims,D,2019-12-26 13:30:00+00:00,0,1,14,71003
Total Net TIC Flows,A,2019-10-16 20:00:00+00:00,0,0,5,19076
Total Net TIC Flows,D,2019-12-16 21:00:00+00:00,0,0,3,21242
CFTC Gold NC Net Positions,A,2019-12-30 20:30:00+00:00,0,0,10,36765
CFTC Gold NC Net Positions,D,2019-12-13 20:30:00+00:00,0,1,11,33117
Existing Home Sales MoM,A,2019-09-19 14:00:00+00:00,0,0,4,18012
Existing Home Sales MoM,D,2019-12-19 15:00:00+00:00,1,1,4,18335
Durable Goods Orders ex Transportation,A,2019-11-27 13:30:00+00:00,0,0,1,13699
Durable Goods Orders ex Transportation,D,2019-12-23 13:30:00+00:00,0,0,7,16549
ISM Non-Manufacturing PMI,A,2019-11-05 15:00:00+00:00,0,0,16,19361
ISM Non-Manufacturing PMI,D,2019-12-04 15:00:00+00:00,0,0,8,17290
Capacity Utilization,A,2019-09-17 13:15:00+00:00,0,0,0,17328
Capacity Utilization,D,2019-11-15 14:15:00+00:00,0,0,5,15808
Consumer Price Index YoY,A,2019-12-11 13:30:00+00:00,0,0,3,19437
Consumer Price Index YoY,D,2019-09-12 12:30:00+00:00,0,0,0,11191
Baker Hughes US Oil Rig Count,A,2019-12-20 18:00:00+00:00,0,0,29,45315
Baker Hughes US Oil Rig Count,D,2019-12-27 18:00:00+00:00,0,0,29,36955
CFTC Oil NC Net Positions,A,2019-12-30 20:30:00+00:00,0,1,13,31654
CFTC Oil NC Net Positions,D,2019-12-06 20:30:00+00:00,0,0,8,38589
6-Month Bill Auction,A,2019-12-23 16:30:00+00:00,0,0,40,87419
6-Month Bill Auction,D,2019-12-30 16:30:00+00:00,0,1,14,52554
Average Hourly Earnings MoM,A,2019-09-06 12:30:00+00:00,0,0,5,18354
Average Hourly Earnings MoM,D,2019-10-04 12:30:00+00:00,0,0,2,14782
Construction Spending MoM,A,2019-11-01 14:00:00+00:00,0,0,4,13300
Construction Spending MoM,D,2019-12-02 15:00:00+00:00,0,0,3,17290
Consumer Price Index ex Food  Energy YoY,A,2019-12-11 13:30:00+00:00,0,0,2,26315
Consumer Price Index ex Food  Energy YoY,D,2019-11-13 13:30:00+00:00,0,0,2,11153
Philadelphia Fed Manufacturing Survey,A,2019-11-21 13:30:00+00:00,0,0,3,18012
Philadelphia Fed Manufacturing Survey,D,2019-12-19 13:30:00+00:00,0,0,1,16948
3-Month Bill Auction,A,2019-12-23 16:30:00+00:00,1,1,39,83790
3-Month Bill Auction,D,2019-12-30 16:30:00+00:00,0,0,15,55100
Michigan Consumer Sentiment Index,A,2019-12-20 15:00:00+00:00,0,0,7,39976
Michigan Consumer Sentiment Index,D,2019-10-25 14:00:00+00:00,0,0,8,34941
Personal Consumption Expenditures,A,2019-12-20 15:00:00+00:00,0,0,6,41458
Personal Consumption Expenditures,D,2019-10-31 12:30:00+00:00,0,4,22,26562
Continuing Jobless Claims,A,2019-12-19 13:30:00+00:00,1,1,10,74651
Continuing Jobless Claims,B,2019-09-12 12:30:00+00:00,0,0,0,11552
Continuing Jobless Claims,C,2019-12-26 13:30:00+00:00,0,0,4,20539
Continuing Jobless Claims,D,2019-12-12 13:30:00+00:00,0,0,7,74632
