name,esc,timestamp,patron_1,patron_2,patron_3,patron_4
CFTC USD NC Net Positions,A,2019-12-30 20:30:00+00:00,0,0,3,8721
CFTC USD NC Net Positions,D,2019-12-06 20:30:00+00:00,0,0,1,7362
Durable Goods Orders,A,2019-11-27 13:30:00+00:00,0,0,1,3879
Durable Goods Orders,D,2019-12-23 13:30:00+00:00,0,0,1,2907
Business Inventories,A,2019-12-13 15:00:00+00:00,0,0,0,4617
Business Inventories,D,2019-10-16 14:00:00+00:00,0,0,0,2673
Core Personal Consumption Expenditure,A,2019-12-20 15:00:00+00:00,0,0,4,11556
Core Personal Consumption Expenditure,D,2019-11-27 15:00:00+00:00,0,0,0,4050
Retail Sales MoM,A,2019-11-26 12:00:00+00:00,0,0,10,7344
Retail Sales MoM,D,2019-12-20 12:00:00+00:00,0,0,5,7182
Chicago Purchasing Managers' Index,A,2019-12-30 14:45:00+00:00,0,0,2,4041
Chicago Purchasing Managers' Index,D,2019-10-31 13:45:00+00:00,0,0,1,3717
ADP Employment Change,A,2019-09-05 12:15:00+00:00,0,0,1,4122
ADP Employment Change,D,2019-12-04 13:15:00+00:00,0,0,0,2916
Nonfarm Payrolls,A,2019-12-06 13:30:00+00:00,0,0,2,4122
Nonfarm Payrolls,D,2019-09-06 12:30:00+00:00,0,0,3,2970
Producer Price Index MoM,A,2019-11-14 13:30:00+00:00,0,0,0,3807
Producer Price Index MoM,D,2019-12-12 13:30:00+00:00,0,0,0,2835
API Weekly Crude Oil Stock,A,2019-12-31 21:30:00+00:00,0,0,0,9234
API Weekly Crude Oil Stock,D,2019-12-24 21:30:00+00:00,0,0,3,9612
4-Week Bill Auction,A,2019-12-26 16:30:00+00:00,0,0,9,18414
4-Week Bill Auction,D,2019-12-19 16:30:00+00:00,0,0,14,12906
Markit PMI Composite,A,2019-12-16 14:45:00+00:00,0,0,2,5418
Markit PMI Composite,D,2019-11-05 14:45:00+00:00,0,0,3,4518
Personal Income MoM,A,2019-12-20 15:00:00+00:00,0,0,1,4365
Personal Income MoM,D,2019-11-27 15:00:00+00:00,0,0,0,2754
Producer Price Index YoY,A,2019-09-11 12:30:00+00:00,0,0,1,3879
Producer Price Index YoY,D,2019-10-08 12:30:00+00:00,0,0,0,3078
Wholesale Inventories,A,2019-11-26 13:30:00+00:00,0,0,1,6228
Wholesale Inventories,D,2019-12-30 13:30:00+00:00,0,0,4,4365
Markit Manufacturing PMI,A,2019-12-02 14:45:00+00:00,0,0,12,7506
Markit Manufacturing PMI,D,2019-11-01 13:45:00+00:00,0,0,11,6192
Markit Services PMI,A,2019-12-16 14:45:00+00:00,0,0,6,5733
Markit Services PMI,D,2019-11-05 14:45:00+00:00,0,0,3,5328
NAHB Housing Market Index,A,2019-12-16 15:00:00+00:00,0,0,2,5166
NAHB Housing Market Index,D,2019-11-18 15:00:00+00:00,0,0,0,3240
Consumer Price Index ex Food  Energy MoM,A,2019-12-11 13:30:00+00:00,0,0,6,5157
Housing Starts MoM,A,2019-12-17 13:30:00+00:00,0,0,1,4608
Housing Starts MoM,D,2019-10-17 12:30:00+00:00,0,0,3,3798
Retail Sales ex Autos MoM,A,2019-08-15 12:30:00+00:00,0,0,1,3960
Retail Sales ex Autos MoM,D,2019-12-13 13:30:00+00:00,0,0,0,3483
Redbook Index YoY,A,2019-12-31 13:55:00+00:00,0,0,14,17451
Redbook Index YoY,D,2019-12-17 13:55:00+00:00,0,0,9,13869
Redbook Index MoM,A,2019-12-31 13:55:00+00:00,0,0,18,19944
Redbook Index MoM,D,2019-12-17 13:55:00+00:00,0,0,5,11376
ISM Manufacturing PMI,A,2019-04-01 14:00:00+00:00,0,0,0,4698
ISM Manufacturing PMI,D,2019-12-02 15:00:00+00:00,0,0,1,3636
SPCase-Shiller Home Price Indices YoY,A,2019-12-31 14:00:00+00:00,0,0,2,3951
SPCase-Shiller Home Price Indices YoY,D,2019-09-24 13:00:00+00:00,0,0,0,2916
Factory Orders MoM,A,2019-12-05 15:00:00+00:00,0,0,4,3384
Factory Orders MoM,D,2019-11-04 15:00:00+00:00,0,0,6,2502
EIA Crude Oil Stocks Change,A,2019-12-11 15:30:00+00:00,0,0,9,17127
EIA Crude Oil Stocks Change,B,2019-09-05 15:00:00+00:00,0,0,2,3141
EIA Crude Oil Stocks Change,C,2019-12-18 15:30:00+00:00,0,1,4,5076
EIA Crude Oil Stocks Change,D,2019-12-27 16:00:00+00:00,0,0,7,16560
Consumer Credit Change,A,2019-12-06 20:00:00+00:00,0,0,8,4590
