name,esc,timestamp,patron_1,patron_2,patron_3,patron_4
Net Long-Term TIC Flows,D,2019-10-16 20:00:00+00:00,0,0,2,4032
Consumer Price Index MoM,A,2019-11-13 13:30:00+00:00,0,0,4,3222
Initial Jobless Claims,A,2019-12-12 13:30:00+00:00,0,1,13,15246
Initial Jobless Claims,B,2019-10-17 12:30:00+00:00,0,0,4,4266
Initial Jobless Claims,C,2019-12-19 13:30:00+00:00,0,0,3,4518
Initial Jobless Claims,D,2019-12-26 13:30:00+00:00,0,0,21,15858
Total Net TIC Flows,A,2019-10-16 20:00:00+00:00,0,0,6,4176
Total Net TIC Flows,D,2019-12-16 21:00:00+00:00,0,0,6,4770
CFTC Gold NC Net Positions,A,2019-12-30 20:30:00+00:00,0,1,7,8388
CFTC Gold NC Net Positions,D,2019-12-13 20:30:00+00:00,0,0,4,7506
Existing Home Sales MoM,A,2019-09-19 14:00:00+00:00,0,0,1,3960
Existing Home Sales MoM,D,2019-12-19 15:00:00+00:00,0,0,3,4041
Durable Goods Orders ex Transportation,A,2019-11-27 13:30:00+00:00,0,0,0,3159
Durable Goods Orders ex Transportation,D,2019-12-23 13:30:00+00:00,0,0,0,3726
ISM Non-Manufacturing PMI,A,2019-11-05 15:00:00+00:00,0,0,0,4374
ISM Non-Manufacturing PMI,D,2019-12-04 15:00:00+00:00,0,0,3,3960
Capacity Utilization,A,2019-09-17 13:15:00+00:00,0,0,5,3861
Capacity Utilization,D,2019-11-15 14:15:00+00:00,0,0,2,3555
Consumer Price Index YoY,A,2019-12-11 13:30:00+00:00,0,0,4,4113
Consumer Price Index YoY,D,2019-09-12 12:30:00+00:00,0,0,2,2502
Baker Hughes US Oil Rig Count,A,2019-12-20 18:00:00+00:00,0,0,5,10188
Baker Hughes US Oil Rig Count,D,2019-12-27 18:00:00+00:00,0,0,0,8586
CFTC Oil NC Net Positions,A,2019-12-30 20:30:00+00:00,0,0,6,7254
CFTC Oil NC Net Positions,D,2019-12-06 20:30:00+00:00,1,1,5,8721
6-Month Bill Auction,A,2019-12-23 16:30:00+00:00,0,0,6,19737
6-Month Bill Auction,D,2019-12-30 16:30:00+00:00,0,0,5,11880
Average Hourly Earnings MoM,A,2019-09-06 12:30:00+00:00,0,0,0,4293
Average Hourly Earnings MoM,D,2019-10-04 12:30:00+00:00,0,0,2,3231
Construction Spending MoM,A,2019-11-01 14:00:00+00:00,0,0,2,2979
Construction Spending MoM,D,2019-12-02 15:00:00+00:00,0,0,10,3933
Consumer Price Index ex Food  Energy YoY,A,2019-12-11 13:30:00+00:00,0,0,10,5643
Consumer Price Index ex Food  Energy YoY,D,2019-11-13 13:30:00+00:00,0,0,0,2511
Philadelphia Fed Manufacturing Survey,A,2019-11-21 13:30:00+00:00,0,0,3,3951
Philadelphia Fed Manufacturing Survey,D,2019-12-19 13:30:00+00:00,0,0,0,3645
3-Month Bill Auction,A,2019-12-23 16:30:00+00:00,0,0,6,19008
3-Month Bill Auction,D,2019-12-30 16:30:00+00:00,0,0,5,12366
Michigan Consumer Sentiment Index,A,2019-12-20 15:00:00+00:00,0,0,5,8964
Michigan Consumer Sentiment Index,D,2019-10-25 14:00:00+00:00,0,0,8,7560
Personal Consumption Expenditures,A,2019-12-20 15:00:00+00:00,0,0,12,9252
Personal Consumption Expenditures,D,2019-10-31 12:30:00+00:00,0,0,2,5976
Continuing Jobless Claims,A,2019-12-19 13:30:00+00:00,1,1,16,16362
Continuing Jobless Claims,B,2019-09-12 12:30:00+00:00,0,0,3,2493
Continuing Jobless Claims,C,2019-12-26 13:30:00+00:00,0,0,12,4653
Continuing Jobless Claims,D,2019-12-12 13:30:00+00:00,0,0,10,16461
